,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
168,"['超级', '英雄', '题材', '无敌', '冷饭', '群英荟萃', '爽', '爆', '眼球', 'heroes', '耍', '个性', '斗斗嘴', '加小卖', '萌', '整部', '剧', '精彩', 'ps', '珍爱', '生命', '远离', '纽约']",Sodayui,50,2012-09-02 10:14:12,0,detroit,2007-10-17,好评
169,,立早,30,2012-06-18 00:40:46,0,浙江杭州,2008-06-26,一般
170,,whocare,40,2012-06-17 20:48:55,0,江苏苏州,2007-08-08,好评
171,,D很多,40,2012-06-18 00:24:43,0,上海,2007-02-05,好评
172,"['明星', '耀眼', '绿巨人', '复仇者', '联盟', 'boss']",小橙子,50,2012-06-17 19:01:52,0,天津,2008-07-27,好评
173,,阿朴,40,2012-09-02 16:02:34,0,广东广州,2006-08-22,好评
174,,余音,40,2012-06-18 00:08:34,0,陕西西安,2010-12-21,好评
175,,inkhk,30,2012-06-17 21:11:18,0,上海,2011-07-16,一般
176,"['全星', '恶搞', '喜剧', '呼呼', '绿巨人', '笑', '瘫']",朱日妮,30,2012-09-02 05:51:55,0,河南洛阳,2007-01-26,一般
177,,Flora,30,2012-06-17 19:03:45,0,,,一般
178,,寂地花开,30,2012-08-12 15:51:25,0,北京,2005-12-20,一般
179,"['系列', '漫画', '影片', '最有', '印象', '富有', '喜感', 'cosplay', '牛魔王', '驯鹿', 'roki', 'boss', '豆瓣', '评论', '牛叉', '要死']",子乌,40,2012-09-01 02:31:25,0,福建厦门,2006-11-14,好评
180,"['这片', '激发', '热血', '澎湃', '少女', '好多', 'hero']",阿圆,50,2012-06-18 00:56:51,0,,,好评
181,,轰纸小酱酱,40,2012-06-17 18:15:00,0,,,好评
182,,L&P的小课长,50,2012-07-18 02:29:29,0,上海,2009-05-16,好评
183,,一个小肉肉,50,2012-06-18 00:25:20,0,,,好评
184,,小佩琪,40,2012-06-17 23:17:30,0,西藏那曲,2010-06-26,好评
185,,猪仔叶,40,2012-09-02 21:17:01,0,北京,2007-09-17,好评
186,,geekdada,50,2012-06-17 23:23:58,0,广东广州,2010-02-28,好评
187,,线形单调,40,2012-09-02 20:12:13,0,四川成都,2007-12-03,好评
188,,Gineea,40,2012-06-17 19:58:01,0,,,好评
189,,kylerwww,50,2012-06-17 19:31:33,0,北京,2010-11-25,好评
190,,windyxp,30,2012-09-02 20:26:33,0,北京,2006-10-01,一般
191,,殺死黑小夜,30,2012-06-18 00:02:22,0,浙江杭州,2009-03-27,一般
192,"['真的', '詫異', '這片', '早早', '給我', '猜到', '怎麼', '個', '流程', '劇情', '發展', '缺點', '則是', '毫無', '美感', '對', '決群', '毆', '真特麼', '認為', '這群', '美漫', '英雄', '們', '13', '想給', '星', '投資', '面子', '上給', '星']",邻舍的老花猫,30,2012-09-02 10:32:36,0,浙江杭州,2007-09-09,一般
193,"['赶在', '档', '总算', '好看', '黑寡妇', '鹰眼', '好萌', '捂眼']",休迪翊,40,2012-06-17 21:07:41,0,上海,2009-09-11,好评
194,,mr.tall,30,2012-06-16 03:04:51,0,广东广州,2010-04-03,一般
195,"['典型', '美国', '爆米花', '动作', '科幻电影', '每次', '幻想', '身怀绝技', '女主角']",Ashley,40,2012-06-17 20:43:58,0,广东深圳,2009-06-02,好评
196,"['2012.09', '02', '打得', '太', '热闹', '绿巨人', '太', 'v587', '希望', '诺顿', '英雄', '物种', '抵抗力', '弱智', '情节', '血脉', '贲张', '热泪盈眶']",小悬子,30,2012-09-02 16:19:40,0,上海,2009-02-16,一般
197,,双色心,40,2012-06-17 19:55:01,0,,,好评
198,"['放映', '告知', '两伙', '抢个', '东西', '打群架', '就行了', '欢乐', '绿巨人', '有点儿', '大战', '僵尸', '加强版', '绿色', '倭瓜', '气呼呼', '好玩儿', '😉']",Maggie,40,2012-06-17 18:35:28,0,,,好评
199,"['涉及', '电影', '看过', '看得', '稀里糊涂', '男生', '喜欢', '吵', '电影']",小晓熹流,40,2012-06-17 19:59:00,0,,,好评
200,,三月青绒,30,2012-09-02 22:09:28,0,北京,2009-09-19,一般
201,,Only_purple,30,2012-06-19 21:28:09,0,北京,2007-02-05,一般
202,"['nc', '粉嘛', '办法', '╮', '￣', '▽', '￣', '╭']",Rostock,50,2012-06-17 18:21:39,0,上海,2011-12-10,好评
203,,我是陈胖我有车,40,2012-09-02 13:49:00,0,北京,2009-06-23,好评
204,,甲爸爸,30,2012-08-12 22:33:21,0,,,一般
205,"['超级', '战舰', '一部', '热血沸腾', '电影', '不同于', '超级', '战舰', '妇联', '笑点', '碰到', '绿巨人', '卖萌加', '耍宝', '钢铁', '侠', '甘拜下风']",橘猫爱吃鱼,40,2018-04-28 10:33:47,13,,,好评
206,"['戏', '平淡', '高潮', '照实', '精彩', '本片', '复仇者', '联盟', '威武', '最具', '破坏性', '无疑', '绿巨人', '大帝']",思考的猫,40,2012-09-02 10:58:06,1,北京,2005-08-12,好评
207,"['场面', '笑', '好看', '绿巨人', '太萌', '综合', '喜欢', '钢铁', '侠', '联盟', '看过', '钢铁', '侠']",阿阿阿悠,40,2012-09-02 22:17:15,0,上海,2008-12-10,好评
208,,扣。,40,2012-09-02 16:27:46,0,浙江杭州,2010-02-07,好评
209,,七七,40,2012-09-02 09:58:37,0,黑龙江哈尔滨,2008-12-11,好评
