,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
18,"['大屏幕', '3d', '效果', '佳', '场景', '设计', '声音', '剪辑', '达成', '期盼', '笑料', '包袱', '抖', '精彩', '超爽', '视效', '体验', '超级', '英雄', '大会战', '钢铁', '侠', '最眩', '幽默感', '魅力十足', '厉害', '当属', '绿巨人', '宇宙', '无敌']",艾小柯,40,2012-04-30 20:46:20,49,perth,2006-06-02,好评
19,,厷糸,30,2018-04-24 08:50:23,33,,,一般
20,"['请漫', '威出', '几部', '番外', '寡姐', '美队', '谈恋爱', '斯嘉丽', '我爱你']",Chloe,40,2018-02-25 14:52:00,59,,,好评
21,"['片子', '诉求', '欺负', '老年人', '队长', '欺负', '残疾人', '钢铁', '侠', '欺负', '病人', '绿胖', '欺负', '弱智', '托尔', '欺负', '上班族', '特工']",伊谢尔伦的风,40,2012-05-05 22:20:04,45,湖北武汉,2006-12-25,好评
22,,我心飞扬,40,2012-06-18 11:42:54,0,山西太原,2011-04-26,好评
23,,emma,40,2012-06-18 14:21:19,0,,,好评
24,"['爆米花', '电影', '典范', '搞笑', '狠', '经典']",我是silence,40,2012-06-18 17:36:37,0,,,好评
25,"['喜欢', '英雄', '电影', '系列', '英雄', '角色', '特色', '剧情', '刺激', '搞笑']",[已注销],40,2018-02-18 15:45:15,32,,,好评
26,"['av', '群', '永远', '嗨', '每次', '撸', '美片', '撸', '射', '对不住', '欧片', '大师']",陆支羽,30,2012-05-21 00:10:51,25,北京,2008-08-30,一般
27,,哆来咪吥羔,40,2012-06-18 23:05:19,2,四川成都,2011-06-15,好评
28,"['碉堡', '打绝', '寰', '不愧', '漫威', '爆发', '之作', '人物', '平衡感', '包括', '浩克和班纳', '期待', '续集']",Multivac,50,2012-04-24 10:38:08,206,北京,2007-05-24,好评
29,"['不算', '太差', '枪版', '每隔', '一段时间', '听到', '炸', '爆米花', '声音', '电影院', '效果', '更好']",央央,40,2012-06-18 19:31:03,0,,,好评
30,,麦子,20,2012-04-23 10:44:33,1022,陕西西安,2008-07-22,差评
31,"['钢铁', '侠', '最帅', 'pepper', '调完', '情后', '驱车', '离去']",McEvn,50,2012-04-26 02:45:22,122,paris,2008-12-08,好评
