16,三星半，或者是期待太高，没预想的过瘾。当然，期待的内容都出现了，各种爆炸动作戏及有趣的对白。导演很好的协调了几个角色，每个人都有空间展示自己的性格和特点。绿巨人无论在过瘾和吐槽上都更让人惊喜。钢铁侠依然负责搞笑，黑寡妇和鹰眼都很帅。很好的爆米花。,桃桃林林,"['allstar30', 'rating']",2012-05-05 15:33:58,51,"P'yŏngyang, North Korea",qijiuzhiyue  2005-10-09加入
17,作为超级英雄和marvel的脑残粉 怎么能不心潮澎湃！萝卜嘴贱惹人爱 抖森萌的让人抖 锤哥搅基太配合了 绿巨人没变身之前骑小摩托加入战场的时候全场爆笑还有各种使坏“玩弄”锤基兄弟什么的 队长屁股好销魂 鹰眼没看到本人好可惜 等上映了再去看一遍！,韩觉夏,"['allstar50', 'rating']",2012-04-23 21:55:50,235,北京,tinagemini  2008-11-01加入
18,大屏幕3D效果佳，战斗场景设计声音剪辑达成期盼，笑料包袱抖得精彩，可称一次超爽的视效体验。超级英雄大会战，还是钢铁侠最眩，幽默感兼个人魅力十足；最厉害当属绿巨人，宇宙全无敌啊！,艾小柯,"['allstar40', 'rating']",2012-04-30 20:46:20,49,"Perth, Australia",aixiaoke  2006-06-02加入
19,各种英雄级的人物聚集在一起，有点搞不清楚到底谁厉害了！,厷糸,"['allstar30', 'rating']",2018-04-24 08:50:23,33,,
0,请漫威出几部番外，让寡姐和美队谈恋爱吧😭😭😭斯嘉丽我爱你,Chloe,"['allstar40', 'rating']",2018-02-25 14:52:00,59,,
1,这片子的主要诉求就是欺负老年人（队长），欺负残疾人（钢铁侠），欺负病人（绿胖），欺负弱智（托尔）以及欺负上班族（特工）是吗……,伊谢尔伦的风,"['allstar40', 'rating']",2012-05-05 22:20:04,45,湖北武汉,iserlohnwind  2006-12-25加入
2,剧情把我抓的很紧。,我心飞扬,"['allstar40', 'rating']",2012-06-18 11:42:54,0,山西太原,51143086  2011-04-26加入
3,so funny~~,emma,"['allstar40', 'rating']",2012-06-18 14:21:19,0,,
4,爆米花电影之典范 搞笑狠经典！,我是silence,"['allstar40', 'rating']",2012-06-18 17:36:37,0,,
5,最喜欢的英雄电影系列，虽然里面有很多英雄角色，但每一个都有自己的特色，剧情刺激有时还有点搞笑。,[已注销],"['allstar40', 'rating']",2018-02-18 15:45:15,32,,
6,1.这就像看AV，群P永远比单挊嗨得多。2.每次撸美片撸到射，就总觉得对不住欧片大师们。,陆支羽,"['allstar30', 'rating']",2012-05-21 00:10:51,25,北京,luzhiyu  2008-08-30加入
7,好喜欢鹰眼哦··酷到爆···,哆来咪吥羔,"['allstar40', 'rating']",2012-06-18 23:05:19,2,四川成都,52349711  2011-06-15加入
8,碉堡了！打绝人寰！不愧是漫威总爆发之作！人物之间的平衡感很好，包括浩克和班纳的处理。期待续集！,Multivac,"['allstar50', 'rating']",2012-04-24 10:38:08,206,北京,multivac  2007-05-24加入
9,看的不算太差的枪版....每隔一段时间会听到炸爆米花的声音.....如果去电影院看效果一定更好,央央,"['allstar40', 'rating']",2012-06-18 19:31:03,0,,
10,纯粹狗血片，里面咋没有孙悟空、金刚葫芦娃和哪吒！,麦子,"['allstar20', 'rating']",2012-04-23 10:44:33,1022,陕西西安,btone0808  2008-07-22加入
11,还是钢铁侠最帅，和Pepper调完情后，又和Hulk去搞基，最后Hulk就和他驱车而离去也！,McEvn,"['allstar50', 'rating']",2012-04-26 02:45:22,122,"Paris, France",zillyromantic  2008-12-08加入
12,众多知名人物汇聚一堂，各展神威，看的眼花缭乱，目瞪口呆。,青山绿水,"['allstar40', 'rating']",2018-04-20 15:19:15,30,,
13,好吧。如果真的有星际侵略希望你们上第一线。,富豪雪糕车,"['allstar40', 'rating']",2012-09-03 21:50:23,0,,
14,视觉听觉的饕餮盛宴，不间断的心灵震撼，经典演绎美国式英雄。,罂脂蔻,"['allstar40', 'rating']",2012-06-19 00:42:38,0,,
15,哎呀还没标记过这个？哈哈哈哈哈不解释鸟>3<,捶脑门儿,"['allstar50', 'rating']",2012-09-04 22:52:41,1,,
16,尼玛蜘蛛侠要是在里面绝对是屌丝,JX,"['allstar50', 'rating']",2012-04-28 07:24:45,69,,
17,这么多角色集中出现在一部电影里，要么浪费阵容要么是部经典，庆幸很不错。,春风不解意,"['allstar40', 'rating']",2018-04-24 08:27:12,26,陕西西安,172195277  2018-01-06加入
18,首映全场爆满！各种美国英雄聚集，各种卖萌傲娇。钢铁侠和绿巨人好可爱。狂轰滥炸让我毫无睡意，哈。,林夕の辞,"['allstar50', 'rating']",2012-04-26 06:27:34,30,"Firenze, Italy",sophia007sx  2008-11-03加入
19,哈哈各种帅气逼人,sangchen,"['allstar40', 'rating']",2012-09-03 23:37:12,0,,
0,各种超级英雄大乱炖，看个热闹，特效不错。,偏要勉强,"['allstar30', 'rating']",2018-04-24 13:35:41,30,江苏苏州,131953600  2015-07-24加入
1,灰常欢乐，大家都很帅~寡妇姐最强~,蓝色的十一维度,"['allstar30', 'rating']",2012-09-03 19:14:00,0,,
2,完全没啥感觉……大概是我在电脑看而且没看过前作的原因,wondersss,"['allstar30', 'rating']",2012-09-03 17:50:11,0,,
3,最喜欢的英雄电影系列，虽然里面有很多英雄角色，但每一个都有自己的特色，剧情刺激有时还有点搞笑。,[已注销],"['allstar40', 'rating']",2018-02-18 15:45:15,32,,
4,大杂烩 剧情不如蝙蝠侠 场面不如变形金刚 希望第二部会大大改进,Cris726,"['allstar30', 'rating']",2012-09-03 22:02:28,0,,
5,嗯，不错。典型的美国大片~,七天七夜,"['allstar50', 'rating']",2012-09-03 11:55:53,0,北京,hhqq  2008-03-15加入
6,好喜欢鹰眼哦··酷到爆···,哆来咪吥羔,"['allstar40', 'rating']",2012-06-18 23:05:19,2,四川成都,52349711  2011-06-15加入
7,纯粹狗血片，里面咋没有孙悟空、金刚葫芦娃和哪吒！,麦子,"['allstar20', 'rating']",2012-04-23 10:44:33,1022,陕西西安,btone0808  2008-07-22加入
8,。。。敌人好弱啊。。。,明艳媚娃高晓松,"['allstar30', 'rating']",2012-09-03 23:04:27,0,,
9,原本很期待的一部片子，因为最近钢铁侠/美国队长等漫画英雄的电影都还不错，但不知怎么了，凑在一起，就这么烂，各位英雄都太文艺了，但各位的演技和台词，还有角色深度又不如《蝙蝠侠前传2》里的小丑和贝尔，故事也没有很强的代入感，只希望新的《蝙蝠侠》别让我失望。,恶魔之月江雪,"['allstar30', 'rating']",2012-09-03 09:10:41,0,,
10,看得想睡觉，3d怎么还不死啊，纽约要被拆多少遍,五色全味,"['allstar20', 'rating']",2012-04-27 01:00:43,800,北京,wusequanwei  2007-01-10加入
11,看的不算太差的枪版....每隔一段时间会听到炸爆米花的声音.....如果去电影院看效果一定更好,央央,"['allstar40', 'rating']",2012-06-18 19:31:03,0,,
12,众多知名人物汇聚一堂，各展神威，看的眼花缭乱，目瞪口呆。,青山绿水,"['allstar40', 'rating']",2018-04-20 15:19:15,30,,
13,我发觉2个半小时里不去考虑为什么在云层上气压还能和地面一样人都吹不走是件困难的事情。好吧，再不刷谢耳朵就要开始了。额，还有，绿巨人最高！！,Lululun,"['allstar50', 'rating']",2012-09-03 17:43:29,0,上海,38850585  2010-04-11加入
